12,13,14,15,16,17,18,19,20,21,22,23,24,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0,0,0,0,0,0,0
0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0,0,0,0,0,0
0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0,0,0,0,0
0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0,0,0,0
0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0,0,0
0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0,0
0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0,0
0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0,0
0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0,0
0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0,0
0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0,0
0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,0,0,0,0,0,0,0,0,0,0,0,1.70607077092613,0
6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0,0
0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0,0
0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0,0
0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0,0
0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0,0
0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0,0
0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0,0
0,0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0,0
0,0,0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0,0
0,0,0,0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0,0
0,0,0,0,0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567,0
0,0,0,0,0,0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0,3.53162646412567
0,0,0,0,0,0,0,0,0,0,0,0,6.9464799706686,0,0,0,0,0,0,0,0,0,0,0,3.33185788842683,0
