25,26,27,28,29,30,31,32,33,34,35,36,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h
0,8.6571755321368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0,0,0,0,0,0,0
0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0,0,0,0,0,0
0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0,0,0,0,0
0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0,0,0,0
0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0,0,0
0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0,0
0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0,0
0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0,0
0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0,0
0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0,1.53894479472458,0,0
0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,0,0,0,0,0,0,0,0,0,0,1.53894479472458,0
7.13574092353206,0,0,0,0,0,0,0,0,0,0,0,0,8.6571755321368,0,0,0,0,0,0,0,0,0,0
0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0,0
0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0,0
0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0,0
0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0,0
0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0,0
0,0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0,0
0,0,0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0,0
0,0,0,0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0,0
0,0,0,0,0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368,0
0,0,0,0,0,0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0,8.6571755321368
0,0,0,0,0,0,0,0,0,0,0,7.13574092353206,0,0,0,0,0,0,0,0,0,0,7.56754693630695,0
