15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h
0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83583758979167,0
5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0,7.40107295213757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12699072902184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21611365490325,0
