13,14,15,16,17,18,19,13h,14h,15h,16h,17h,18h,19h
0,5.11430226492827,0,0,0,0,0,0,0,0,0,0,0,0
4.12297395489034,0,5.11430226492827,0,0,0,0,1.84443683620741,0,0,0,0,0,0
0,4.12297395489034,0,5.11430226492827,0,0,0,0,1.84443683620741,0,0,0,0,0
0,0,4.12297395489034,0,5.11430226492827,0,0,0,0,1.84443683620741,0,0,0,0
0,0,0,4.12297395489034,0,5.11430226492827,0,0,0,0,1.84443683620741,0,0,0
0,0,0,0,4.12297395489034,0,5.11430226492827,0,0,0,0,1.84443683620741,0,0
0,0,0,0,0,4.12297395489034,0,0,0,0,0,0,1.84443683620741,0
4.72913227888596,0,0,0,0,0,0,0,5.11430226492827,0,0,0,0,0
0,4.72913227888596,0,0,0,0,0,4.12297395489034,0,5.11430226492827,0,0,0,0
0,0,4.72913227888596,0,0,0,0,0,4.12297395489034,0,5.11430226492827,0,0,0
0,0,0,4.72913227888596,0,0,0,0,0,4.12297395489034,0,5.11430226492827,0,0
0,0,0,0,4.72913227888596,0,0,0,0,0,4.12297395489034,0,5.11430226492827,0
0,0,0,0,0,4.72913227888596,0,0,0,0,0,4.12297395489034,0,5.11430226492827
0,0,0,0,0,0,4.72913227888596,0,0,0,0,0,4.12297395489034,0
