17,18,19,20,21,22,23,24,25,26,27,28,29,30,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h
0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88668293705539,0
5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0,0
0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0,0
0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0,0
0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0,0
0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0,0
0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0,0
0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0,0
0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0,0
0,0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0,0
0,0,0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0,0
0,0,0,0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0,0
0,0,0,0,0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043,0
0,0,0,0,0,0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0,6.00044614261043
0,0,0,0,0,0,0,0,0,0,0,0,0,5.4313333592784,0,0,0,0,0,0,0,0,0,0,0,0,5.17710331849711,0
