11,12,13,14,15,16,17,18,19,20,21,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h
0,5.45084147801487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0,0,0,0,0,0,0
0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0,0,0,0,0,0
0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0,0,0,0,0
0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0,0,0,0
0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0,0,0
0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0,0
0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0,0
0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0,0
0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0,1.86750797390356,0,0
0,0,0,0,0,0,0,0,0,4.69088610288313,0,0,0,0,0,0,0,0,0,0,1.86750797390356,0
4.96725441489386,0,0,0,0,0,0,0,0,0,0,0,5.45084147801487,0,0,0,0,0,0,0,0,0
0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0,0
0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0,0
0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0,0
0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0,0
0,0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0,0
0,0,0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0,0
0,0,0,0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0,0
0,0,0,0,0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487,0
0,0,0,0,0,0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0,5.45084147801487
0,0,0,0,0,0,0,0,0,0,4.96725441489386,0,0,0,0,0,0,0,0,0,4.69088610288313,0
