9,10,11,12,13,14,15,16,17,18,19,20,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h
0,10.4705783976017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0,0,0,0,0,0,0
0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0,0,0,0,0,0
0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0,0,0,0,0
0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0,0,0,0
0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0,0,0
0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0,0
0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0,0
0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0,0
0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0,0
0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0,2.51785042004537,0,0
0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,0,0,0,0,0,0,0,0,0,0,2.51785042004537,0
4.59649542209765,0,0,0,0,0,0,0,0,0,0,0,0,10.4705783976017,0,0,0,0,0,0,0,0,0,0
0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0,0
0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0,0
0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0,0
0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0,0
0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0,0
0,0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0,0
0,0,0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0,0
0,0,0,0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0,0
0,0,0,0,0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017,0
0,0,0,0,0,0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0,10.4705783976017
0,0,0,0,0,0,0,0,0,0,0,4.59649542209765,0,0,0,0,0,0,0,0,0,0,4.12512849553195,0
