18,19,20,21,22,18h,19h,20h,21h,22h
0,2.51174990042415,0,0,0,0,0,0,0,0
2.48884742684813,0,2.51174990042415,0,0,1.78830262266284,0,0,0,0
0,2.48884742684813,0,2.51174990042415,0,0,1.78830262266284,0,0,0
0,0,2.48884742684813,0,2.51174990042415,0,0,1.78830262266284,0,0
0,0,0,2.48884742684813,0,0,0,0,1.78830262266284,0
4.67529370332539,0,0,0,0,0,2.51174990042415,0,0,0
0,4.67529370332539,0,0,0,2.48884742684813,0,2.51174990042415,0,0
0,0,4.67529370332539,0,0,0,2.48884742684813,0,2.51174990042415,0
0,0,0,4.67529370332539,0,0,0,2.48884742684813,0,2.51174990042415
0,0,0,0,4.67529370332539,0,0,0,2.48884742684813,0
