18,19,20,21,22,23,18h,19h,20h,21h,22h,23h
0,3.17027860773202,0,0,0,0,0,0,0,0,0,0
1.61685860443729,0,3.17027860773202,0,0,0,1.35292844146903,0,0,0,0,0
0,1.61685860443729,0,3.17027860773202,0,0,0,1.35292844146903,0,0,0,0
0,0,1.61685860443729,0,3.17027860773202,0,0,0,1.35292844146903,0,0,0
0,0,0,1.61685860443729,0,3.17027860773202,0,0,0,1.35292844146903,0,0
0,0,0,0,1.61685860443729,0,0,0,0,0,1.35292844146903,0
6.19085647985237,0,0,0,0,0,0,3.17027860773202,0,0,0,0
0,6.19085647985237,0,0,0,0,1.61685860443729,0,3.17027860773202,0,0,0
0,0,6.19085647985237,0,0,0,0,1.61685860443729,0,3.17027860773202,0,0
0,0,0,6.19085647985237,0,0,0,0,1.61685860443729,0,3.17027860773202,0
0,0,0,0,6.19085647985237,0,0,0,0,1.61685860443729,0,3.17027860773202
0,0,0,0,0,6.19085647985237,0,0,0,0,1.61685860443729,0
